ID,Annual.Salary,Job,refid,Applicant,Market,Experience,Hire.Date,2014.Performance,2015.Performance
31,102769,director,703,1,'New Orleans',5,5/6/2013,1,1
32,25992,office worker,301,1,'San Fran',1,5/17/2014,4,2
33,66827,analyst,219,1,'New Orleans',3,1/7/2013,4,5
34,62104,analyst,,0,'New Orleans',4,1/11/2015,3,5
35,29043,office worker,400,1,'New York',1,2/26/2015,2,5
36,103473,director,,0,'San Fran',5,12/2/2015,1,2
37,98153,sr. analyst,150,1,'San Fran',6,9/2/2013,3,1
38,40611,programmer 1,995,1,'New York',1,1/5/2013,0,5
39,63297,analyst,,0,'New Orleans',3,12/11/2013,3,5
40,72956,analyst,28,1,'Orlando',5,4/28/2013,3,0
41,111762,director,942,1,'New York',1,1/21/2014,5,5
42,39580,programmer 1,390,1,'New York',2,2/6/2015,3,0
43,109695,director,,0,'San Fran',1,7/15/2013,5,1
44,105204,director,,0,'New York',6,7/30/2013,0,2
45,94188,sr. analyst,219,1,'New Orleans',5,5/31/2014,3,5
46,85406,sr. analyst,262,1,'New York',5,11/17/2013,3,2
47,30751,programmer 1,,0,'San Fran',5,4/7/2014,1,4
48,47672,programmer 1,,0,'New York',5,8/26/2014,1,4
49,72974,analyst,817,1,'New Orleans',2,10/30/2015,3,0
50,86456,sr. analyst,,0,'Orlando',6,2/17/2014,1,5
51,51072,programmer 2,989,1,'Orlando',5,10/28/2013,3,0
52,51999,programmer 2,,0,'San Fran',2,2/22/2015,2,5
53,69972,analyst,200,1,'New York',6,11/10/2015,0,1
54,49410,programmer 1,,0,'Orlando',1,12/9/2015,3,0
55,86680,sr. analyst,113,1,'San Fran',2,3/5/2014,3,2
56,68708,analyst,,0,'San Fran',4,6/8/2014,4,1
57,112913,director,786,1,'Orlando',3,7/5/2013,1,3
58,50605,programmer 2,,0,'San Fran',6,9/10/2015,3,2
59,24534,office worker,,0,'New Orleans',4,9/7/2015,4,2
60,25927,office worker,,0,'New Orleans',1,4/10/2013,2,2
61,83634,sr. analyst,569,1,'Orlando',3,8/29/2015,2,2
62,35539,programmer 1,,0,'Orlando',1,12/6/2014,3,1
63,82667,sr. analyst,,0,'New York',3,8/12/2014,1,5
64,103109,director,,0,'San Fran',5,7/1/2015,5,3
65,106247,director,,0,'New York',5,1/7/2014,3,3
66,38540,programmer 1,,0,'Orlando',3,12/8/2015,5,5
67,67189,analyst,121,1,'New York',2,1/15/2015,5,5
68,75232,analyst,,0,'San Fran',2,3/10/2015,5,4
69,74358,analyst,523,1,'New York',6,12/3/2013,3,2
70,82180,sr. analyst,,0,'San Fran',2,10/20/2015,5,4
71,92275,sr. analyst,631,1,'New Orleans',4,6/24/2013,1,3
72,98408,sr. analyst,,0,'New Orleans',3,1/30/2015,4,1
73,51220,programmer 2,,0,'Orlando',5,12/11/2013,2,3
74,37356,programmer 1,107,1,'New York',6,1/21/2015,1,0
75,31910,programmer 1,,0,'San Fran',2,3/5/2013,1,5
76,54324,programmer 2,377,1,'New York',2,2/11/2014,5,2
77,65251,analyst,245,1,'Orlando',3,3/22/2014,2,2
78,86617,sr. analyst,,0,'Orlando',1,1/18/2015,5,1
79,87301,sr. analyst,143,1,'New York',5,7/23/2013,4,5
80,114730,director,567,1,'New York',6,11/12/2014,1,1
81,47185,programmer 1,387,1,'New Orleans',1,8/3/2014,3,4
82,111659,director,969,1,'New Orleans',5,5/11/2013,4,1
83,49285,programmer 1,996,1,'San Fran',3,12/14/2014,2,5
84,74632,analyst,,0,'New Orleans',5,6/26/2015,1,5
85,48229,programmer 1,,0,'San Fran',1,7/11/2014,0,3
86,61535,analyst,558,1,'Orlando',6,10/27/2014,0,3
87,86509,sr. analyst,,0,'San Fran',1,7/16/2015,4,0
88,38476,programmer 1,,0,'New Orleans',6,5/17/2015,5,0
89,110783,director,,0,'Orlando',6,9/2/2015,2,1
90,99469,sr. analyst,,0,'New York',2,2/25/2014,2,3
91,44190,programmer 1,,0,'New Orleans',4,10/21/2015,2,3
92,109461,director,434,1,'New York',2,5/10/2014,2,1
93,116462,director,,0,'San Fran',5,8/29/2014,1,5
94,95215,sr. analyst,,0,'Orlando',2,1/8/2013,4,4
95,50241,programmer 2,,0,'New Orleans',2,5/15/2015,5,4
96,110415,director,537,1,'New Orleans',3,3/6/2015,5,1
97,25607,office worker,698,1,'New Orleans',2,1/11/2014,0,3
98,106802,director,290,1,'Orlando',6,6/2/2014,0,3
99,39435,programmer 1,,0,'New York',4,2/26/2014,0,5
100,66231,analyst,,0,'New Orleans',4,7/5/2013,5,1
101,68524,analyst,,0,'New York',6,3/20/2013,5,0
102,20333,office worker,,0,'New Orleans',6,3/4/2015,4,4
103,25207,office worker,851,1,'San Fran',1,5/22/2013,4,1
104,48213,programmer 1,899,1,'New Orleans',2,3/8/2014,3,4
105,80895,sr. analyst,150,1,'New York',4,1/10/2015,0,1
106,112828,director,,0,'San Fran',1,11/7/2014,4,1
107,110657,director,,0,'New York',5,11/10/2013,2,0
108,38437,programmer 1,,0,'San Fran',5,2/3/2014,0,5
109,108264,director,436,1,'Orlando',4,4/16/2015,1,4
110,116302,director,,0,'San Fran',2,6/21/2014,3,0
111,64956,analyst,883,1,'New York',2,2/22/2014,1,5
112,105331,director,182,1,'New York',1,9/10/2015,4,0
113,58990,programmer 2,,0,'New York',4,4/29/2013,1,0
114,41642,programmer 1,,0,'Orlando',5,10/4/2014,0,1
115,38781,programmer 1,,0,'San Fran',1,1/20/2015,2,4
116,84992,sr. analyst,,0,'New York',3,6/28/2013,2,0
117,97742,sr. analyst,,0,'Orlando',3,1/12/2013,0,2
118,27403,office worker,775,1,'New Orleans',4,10/27/2013,1,0
119,75678,analyst,,0,'San Fran',6,3/13/2014,1,4
120,27982,office worker,482,1,'Orlando',1,1/7/2014,1,5
121,59972,programmer 2,58,1,'San Fran',4,12/16/2013,0,1
122,72149,analyst,186,1,'San Fran',5,3/13/2013,1,2
123,70566,analyst,,0,'New York',4,4/10/2015,3,4
124,54348,programmer 2,,0,'Orlando',2,6/27/2013,1,0
125,88802,sr. analyst,,0,'San Fran',5,6/27/2013,5,2
126,70891,analyst,107,1,'Orlando',1,11/4/2014,5,3
127,53715,programmer 2,816,1,'San Fran',6,11/16/2013,2,2
128,29618,office worker,,0,'New York',2,11/24/2015,2,0
129,58682,programmer 2,,0,'Orlando',5,1/20/2013,4,0
130,111117,director,,0,'New York',4,3/4/2014,1,4
131,68924,analyst,,0,'New York',2,2/24/2014,2,2
132,38697,programmer 1,,0,'New York',3,4/3/2015,5,2
133,114195,director,316,1,'Orlando',6,12/31/2014,1,0
134,91051,sr. analyst,,0,'Orlando',4,6/23/2013,3,2
135,58620,programmer 2,,0,'San Fran',2,9/29/2013,5,4
136,37970,programmer 1,,0,'Orlando',5,9/30/2014,1,3
137,101596,director,,0,'Orlando',6,6/14/2014,0,5
138,44324,programmer 1,,0,'Orlando',5,1/16/2015,3,5
139,116107,director,,0,'San Fran',2,7/13/2013,3,0
140,30194,programmer 1,24,1,'New Orleans',4,8/9/2014,4,0
141,37977,programmer 1,,0,'San Fran',1,1/27/2015,5,0
142,84736,sr. analyst,,0,'New York',1,5/26/2014,0,2
143,65763,analyst,,0,'New York',4,4/2/2013,3,1
144,33148,programmer 1,,0,'Orlando',2,9/21/2015,5,5
145,86497,sr. analyst,,0,'San Fran',3,8/26/2014,5,3
146,95582,sr. analyst,465,1,'New York',4,11/22/2013,2,3
147,95349,sr. analyst,,0,'Orlando',2,10/27/2014,2,5
148,104710,director,,0,'San Fran',6,2/7/2013,3,4
149,94886,sr. analyst,,0,'Orlando',4,5/30/2013,1,2
150,56709,programmer 2,,0,'New York',6,12/4/2014,2,2
151,88193,sr. analyst,,0,'Orlando',1,7/3/2015,3,5
152,63322,analyst,175,1,'New Orleans',3,4/30/2013,2,2
153,82536,sr. analyst,,0,'San Fran',1,5/28/2015,3,5
154,103833,director,115,1,'Orlando',6,6/9/2014,3,5
155,86326,sr. analyst,703,1,'New York',3,10/24/2013,1,3
156,106217,director,805,1,'New Orleans',3,3/18/2013,3,4
157,98763,sr. analyst,581,1,'New Orleans',3,3/24/2013,2,3
158,62282,analyst,65,1,'New York',5,2/16/2014,2,0
159,48403,programmer 1,,0,'New York',2,9/26/2015,2,5
160,106526,director,147,1,'New Orleans',4,10/10/2013,1,0
161,116095,director,891,1,'New York',6,3/30/2013,4,1
162,65458,analyst,,0,'Orlando',5,9/3/2013,2,1
163,34975,programmer 1,684,1,'Orlando',5,5/26/2015,5,4
164,41945,programmer 1,,0,'San Fran',2,9/3/2013,0,1
165,79597,analyst,806,1,'Orlando',4,3/19/2014,0,1
166,67619,analyst,299,1,'New York',1,6/25/2013,0,2
167,63866,analyst,614,1,'Orlando',6,10/26/2014,3,3
168,91085,sr. analyst,388,1,'Orlando',1,11/8/2014,3,2
169,30912,programmer 1,171,1,'New Orleans',1,8/4/2015,2,3
170,69310,analyst,10,1,'Orlando',1,9/9/2013,2,5
171,54509,programmer 2,742,1,'New York',3,12/9/2014,3,3
172,47825,programmer 1,,0,'New Orleans',1,5/16/2015,3,1
173,89570,sr. analyst,888,1,'San Fran',4,5/29/2014,0,4
174,111004,director,,0,'Orlando',3,5/14/2015,5,3
175,55804,programmer 2,901,1,'New York',5,4/10/2013,1,4
176,54248,programmer 2,619,1,'New York',5,7/10/2014,2,1
177,52790,programmer 2,,0,'New Orleans',6,1/27/2014,0,3
178,48223,programmer 1,,0,'Orlando',4,2/21/2015,0,2
179,106827,director,,0,'New York',6,8/10/2014,4,1
180,45480,programmer 1,,0,'New York',4,2/24/2014,4,3
181,99512,sr. analyst,385,1,'Orlando',6,12/11/2013,5,5
182,90074,sr. analyst,419,1,'New York',6,7/7/2013,1,0
183,78665,analyst,,0,'New York',1,9/28/2013,2,0
184,84103,sr. analyst,95,1,'San Fran',5,11/30/2014,5,4
185,48362,programmer 1,563,1,'Orlando',3,3/24/2014,2,4
186,95444,sr. analyst,120,1,'New Orleans',3,2/19/2013,5,2
187,48711,programmer 1,683,1,'Orlando',6,4/2/2014,4,2
188,92400,sr. analyst,608,1,'New Orleans',1,6/12/2014,5,2
189,66527,analyst,99,1,'New Orleans',5,12/28/2014,1,4
190,109766,director,,0,'San Fran',3,2/12/2013,4,1
191,117405,director,,0,'New Orleans',3,1/25/2014,3,3
192,43860,programmer 1,,0,'Orlando',1,6/27/2013,4,5
193,26295,office worker,173,1,'San Fran',4,3/15/2014,4,4
194,95751,sr. analyst,426,1,'New York',3,9/3/2014,3,2
195,100717,director,583,1,'Orlando',3,8/15/2013,4,5
196,73312,analyst,,0,'New Orleans',5,10/24/2013,1,4
197,37346,programmer 1,,0,'New York',5,5/27/2013,3,4
198,110600,director,,0,'New York',3,6/17/2015,3,0
199,108991,director,,0,'San Fran',2,9/27/2014,2,2
200,83657,sr. analyst,,0,'San Fran',1,2/13/2014,2,4
201,31118,programmer 1,220,1,'San Fran',2,3/30/2013,5,5
202,117476,director,858,1,'Orlando',1,3/20/2014,1,4
203,21597,office worker,586,1,'Orlando',2,6/3/2015,5,3
204,25990,office worker,906,1,'New Orleans',2,10/3/2014,1,1
205,68127,analyst,840,1,'San Fran',4,9/7/2014,2,2
206,109816,director,263,1,'New Orleans',4,12/16/2014,3,0
207,29063,office worker,,0,'San Fran',2,6/8/2013,2,4
208,90551,sr. analyst,,0,'Orlando',6,2/25/2013,5,1
209,62646,analyst,643,1,'San Fran',5,8/6/2013,3,3
210,79223,analyst,860,1,'San Fran',2,11/7/2015,2,4
211,66720,analyst,496,1,'San Fran',6,8/21/2014,4,5
212,82295,sr. analyst,,0,'New Orleans',3,7/13/2013,0,4
213,85415,sr. analyst,,0,'Orlando',5,4/13/2013,4,2
214,113999,director,358,1,'New York',5,11/12/2013,4,5
215,55584,programmer 2,,0,'Orlando',4,2/18/2014,5,0
216,108569,director,478,1,'San Fran',3,6/15/2014,1,2
217,47891,programmer 1,,0,'New Orleans',2,1/7/2015,0,1
218,103297,director,,0,'San Fran',4,11/30/2015,2,1
219,114667,director,731,1,'Orlando',2,6/22/2013,2,5
220,75235,analyst,,0,'Orlando',6,10/21/2015,0,5
221,116819,director,138,1,'Orlando',5,10/28/2013,5,4
222,119344,director,,0,'San Fran',5,9/21/2014,4,3
223,97674,sr. analyst,,0,'Orlando',3,5/11/2014,4,0
224,95412,sr. analyst,,0,'Orlando',5,7/22/2014,5,3
225,97617,sr. analyst,663,1,'San Fran',2,2/2/2014,3,5
226,92416,sr. analyst,,0,'Orlando',1,10/17/2015,0,1
227,53295,programmer 2,,0,'Orlando',4,9/30/2014,4,1
228,49935,programmer 1,753,1,'San Fran',5,6/7/2013,2,4
229,109628,director,,0,'San Fran',5,5/31/2015,5,4
230,115174,director,596,1,'San Fran',1,3/21/2015,4,1
231,95126,sr. analyst,,0,'San Fran',2,8/26/2015,5,4
232,97444,sr. analyst,,0,'Orlando',1,9/9/2013,1,2
233,114291,director,,0,'San Fran',2,6/21/2014,3,4
234,72828,analyst,508,1,'Orlando',4,10/20/2013,2,4
235,91852,sr. analyst,,0,'New Orleans',4,11/1/2013,4,1
236,89573,sr. analyst,,0,'New York',1,11/9/2015,5,3
237,106162,director,,0,'Orlando',2,2/22/2015,0,5
238,51149,programmer 2,710,1,'New Orleans',1,4/22/2014,1,0
239,115434,director,519,1,'New York',5,4/18/2014,5,4
240,51915,programmer 2,,0,'San Fran',2,7/3/2015,0,0
241,119525,director,688,1,'New York',4,8/7/2014,2,1
242,46978,programmer 1,797,1,'Orlando',3,10/26/2015,3,5
243,62442,analyst,,0,'San Fran',1,9/27/2014,1,1
244,43185,programmer 1,764,1,'San Fran',1,4/2/2015,0,5
245,94538,sr. analyst,,0,'New York',4,9/10/2013,5,5
246,28045,office worker,,0,'New York',2,12/16/2014,3,3
247,95120,sr. analyst,903,1,'New York',4,5/14/2015,4,2
248,45442,programmer 1,,0,'New Orleans',5,2/27/2013,2,2
249,33969,programmer 1,,0,'Orlando',2,10/11/2013,5,1
250,51721,programmer 2,,0,'New Orleans',2,12/10/2015,1,1
251,72043,analyst,,0,'Orlando',4,3/3/2014,1,5
252,44147,programmer 1,,0,'New York',1,5/12/2013,3,0
253,69589,analyst,,0,'Orlando',3,10/16/2013,0,2
254,46960,programmer 1,413,1,'Orlando',4,7/8/2015,3,0
255,36647,programmer 1,864,1,'San Fran',2,12/19/2013,1,5
256,31517,programmer 1,,0,'New Orleans',1,2/22/2014,2,5
257,97819,sr. analyst,226,1,'New Orleans',4,6/1/2014,5,0
258,98772,sr. analyst,755,1,'San Fran',1,10/22/2014,1,1
259,52695,programmer 2,,0,'New York',4,9/2/2015,1,5
260,32812,programmer 1,886,1,'Orlando',5,2/6/2015,3,2
261,114728,director,,0,'Orlando',5,3/4/2014,5,5
262,58462,programmer 2,388,1,'New Orleans',1,2/22/2015,3,4
263,113770,director,307,1,'New York',6,5/14/2013,4,1
264,68858,analyst,221,1,'New Orleans',5,9/6/2015,1,2
265,92698,sr. analyst,963,1,'New York',3,10/16/2015,4,3
266,66348,analyst,,0,'Orlando',6,4/30/2014,1,1
267,43232,programmer 1,,0,'San Fran',4,5/20/2015,2,5
268,20973,office worker,,0,'Orlando',4,4/29/2013,2,5
269,64696,analyst,,0,'New Orleans',4,5/7/2014,2,4
270,76463,analyst,795,1,'Orlando',3,10/13/2015,5,1
271,98409,sr. analyst,57,1,'Orlando',3,12/28/2014,4,0
272,43530,programmer 1,266,1,'San Fran',2,4/14/2013,3,5
273,98542,sr. analyst,,0,'New York',4,2/3/2014,3,0
274,51698,programmer 2,,0,'New York',6,2/7/2013,1,0
275,38210,programmer 1,598,1,'Orlando',6,5/21/2013,1,2
276,46480,programmer 1,,0,'Orlando',5,1/9/2014,5,3
277,91645,sr. analyst,,0,'San Fran',4,1/6/2013,0,4
278,114990,director,128,1,'New York',6,11/18/2014,2,5
279,87909,sr. analyst,389,1,'New Orleans',4,10/4/2014,3,5
280,32302,programmer 1,713,1,'San Fran',3,1/13/2013,3,4
281,110453,director,795,1,'New York',3,5/22/2014,2,4
282,49300,programmer 1,748,1,'San Fran',3,11/12/2013,5,2
283,32465,programmer 1,,0,'San Fran',5,2/18/2015,4,1
284,69854,analyst,754,1,'New York',2,3/1/2015,5,0
285,112554,director,35,1,'New York',1,4/27/2013,4,4
286,100359,director,,0,'New Orleans',1,10/1/2013,4,2
287,84914,sr. analyst,510,1,'New York',2,4/11/2013,4,1
288,106214,director,405,1,'San Fran',1,5/13/2013,0,4
289,26189,office worker,,0,'New York',6,12/8/2015,1,3
290,46380,programmer 1,,0,'San Fran',3,12/23/2014,1,5
291,95772,sr. analyst,,0,'Orlando',2,8/5/2013,1,5
292,76204,analyst,3,1,'New Orleans',3,6/16/2013,1,0
293,85197,sr. analyst,784,1,'New York',4,12/8/2014,2,5
294,70723,analyst,,0,'New York',3,8/16/2015,0,1
295,85854,sr. analyst,,0,'New Orleans',5,1/29/2013,2,5
296,61330,analyst,,0,'New Orleans',3,10/13/2015,1,4
297,72460,analyst,,0,'Orlando',1,8/11/2015,1,2
298,81422,sr. analyst,,0,'New Orleans',2,4/15/2014,3,2
299,72082,analyst,,0,'New Orleans',4,8/10/2014,0,4
300,97750,sr. analyst,449,1,'Orlando',5,8/31/2015,2,0
301,55505,programmer 2,,0,'New York',4,10/17/2014,1,0
302,60648,analyst,657,1,'San Fran',3,9/20/2014,5,2
303,103423,director,,0,'New Orleans',4,11/23/2014,2,0
304,77361,analyst,641,1,'Orlando',6,5/22/2015,4,1
305,66888,analyst,,0,'New Orleans',2,6/24/2013,3,5
306,61329,analyst,,0,'New Orleans',1,3/5/2014,1,1
307,40912,programmer 1,4,1,'San Fran',4,5/6/2014,5,1
308,102615,director,,0,'New Orleans',6,1/31/2014,2,4
309,92788,sr. analyst,,0,'New York',1,3/5/2015,5,3
310,50803,programmer 2,,0,'Orlando',3,1/13/2014,4,5
311,48902,programmer 1,727,1,'New Orleans',1,2/27/2013,5,4
312,69150,analyst,,0,'San Fran',4,9/13/2014,4,3
313,42042,programmer 1,,0,'Orlando',3,11/30/2015,2,2
314,112631,director,223,1,'New Orleans',1,10/9/2014,3,4
315,92388,sr. analyst,,0,'Orlando',4,3/3/2014,2,3
316,89615,sr. analyst,,0,'San Fran',3,12/21/2014,4,2
317,61163,analyst,371,1,'Orlando',6,4/27/2015,2,3
318,103309,director,31,1,'Orlando',3,1/18/2014,5,4
319,111883,director,,0,'San Fran',2,1/1/2015,4,5
320,105832,director,,0,'New York',6,9/29/2013,2,0
321,91799,sr. analyst,430,1,'San Fran',6,12/8/2013,1,4
322,108421,director,351,1,'San Fran',6,1/6/2015,3,0
323,78438,analyst,435,1,'New York',1,3/21/2015,3,5
324,119161,director,552,1,'San Fran',3,6/24/2014,2,4
325,38561,programmer 1,,0,'New York',2,8/22/2013,4,0
326,23721,office worker,,0,'Orlando',5,5/28/2013,1,4
327,20550,office worker,,0,'New Orleans',4,7/7/2014,3,1
328,21242,office worker,,0,'New Orleans',3,9/10/2014,0,0
329,51794,programmer 2,382,1,'San Fran',5,11/28/2013,4,2
330,22866,office worker,,0,'New York',3,5/15/2013,0,4
331,25250,office worker,645,1,'New York',1,8/8/2014,2,2
332,69892,analyst,284,1,'San Fran',6,3/6/2014,0,2
333,36297,programmer 1,,0,'New York',5,4/4/2015,5,4
334,53645,programmer 2,75,1,'New Orleans',5,5/24/2013,5,3
335,31374,programmer 1,38,1,'New York',5,1/15/2014,0,2
336,40409,programmer 1,145,1,'Orlando',1,3/8/2015,1,0
337,85057,sr. analyst,508,1,'San Fran',5,4/20/2013,0,3
338,42790,programmer 1,988,1,'New Orleans',5,1/28/2014,3,5
339,98310,sr. analyst,,0,'New York',6,3/31/2013,3,0
340,93465,sr. analyst,799,1,'San Fran',5,4/10/2013,5,3
341,36968,programmer 1,,0,'New York',5,11/20/2014,2,2
342,62980,analyst,,0,'Orlando',5,12/13/2014,2,4
343,28917,office worker,,0,'New York',4,7/31/2014,1,0
344,21944,office worker,,0,'San Fran',4,3/24/2014,1,2
345,27183,office worker,409,1,'New Orleans',6,3/20/2015,0,3
346,118271,director,,0,'New Orleans',6,5/11/2014,5,2
347,62458,analyst,47,1,'Orlando',4,2/26/2015,0,4
348,88916,sr. analyst,209,1,'New York',3,6/26/2013,1,5
349,96231,sr. analyst,962,1,'New York',2,8/27/2013,5,5
350,119226,director,,0,'New Orleans',2,8/13/2013,4,3
351,30325,programmer 1,,0,'New Orleans',3,1/30/2015,3,4
352,28101,office worker,,0,'Orlando',2,12/25/2013,2,0
353,83661,sr. analyst,864,1,'San Fran',2,2/20/2014,1,4
354,93353,sr. analyst,,0,'Orlando',3,1/25/2014,0,3
355,43764,programmer 1,,0,'San Fran',3,6/21/2015,5,5
356,70405,analyst,,0,'New York',2,6/19/2014,0,5
357,20702,office worker,,0,'Orlando',2,1/21/2013,3,1
358,96362,sr. analyst,,0,'San Fran',2,8/31/2015,2,0
359,73796,analyst,,0,'San Fran',4,4/1/2015,3,4
360,49465,programmer 1,275,1,'New Orleans',2,5/10/2014,2,0
361,69774,analyst,975,1,'San Fran',2,9/19/2013,1,4
362,86450,sr. analyst,243,1,'San Fran',2,2/13/2015,0,3
363,76881,analyst,,0,'San Fran',3,3/23/2014,2,4
364,45852,programmer 1,926,1,'New Orleans',6,5/9/2015,1,3
365,36750,programmer 1,,0,'New York',1,5/13/2014,5,3
366,82185,sr. analyst,487,1,'San Fran',1,4/15/2013,1,1
367,116851,director,,0,'New York',2,6/11/2014,3,4
368,80628,sr. analyst,464,1,'San Fran',5,1/18/2013,4,3
369,96960,sr. analyst,,0,'San Fran',5,9/17/2014,0,1
370,59311,programmer 2,,0,'New York',1,6/3/2015,4,0
371,28062,office worker,,0,'New York',3,9/20/2014,1,1
372,88547,sr. analyst,394,1,'New York',3,1/13/2015,3,3
373,42835,programmer 1,,0,'New York',1,2/6/2013,1,4
374,68884,analyst,,0,'New York',1,10/28/2014,0,3
375,20854,office worker,,0,'New York',1,5/11/2014,3,1
376,60860,analyst,,0,'New Orleans',3,7/16/2014,1,4
377,53104,programmer 2,,0,'New York',6,3/14/2015,5,5
378,20556,office worker,716,1,'New York',5,9/20/2015,3,0
379,52486,programmer 2,,0,'San Fran',3,4/16/2013,3,4
380,33973,programmer 1,,0,'Orlando',3,1/22/2013,4,3
381,49179,programmer 1,,0,'Orlando',5,5/28/2015,3,0
382,97471,sr. analyst,,0,'Orlando',2,11/19/2014,5,3
383,50799,programmer 2,794,1,'San Fran',1,8/2/2014,5,2
384,32286,programmer 1,441,1,'San Fran',3,5/20/2013,5,3
385,95427,sr. analyst,,0,'Orlando',1,3/4/2014,1,5
386,77738,analyst,,0,'New Orleans',3,9/7/2013,5,3
387,97409,sr. analyst,,0,'San Fran',6,5/18/2013,3,3
388,50534,programmer 2,,0,'New York',4,10/9/2013,4,0
389,49515,programmer 1,363,1,'San Fran',1,8/1/2013,5,2
390,67454,analyst,,0,'New York',4,4/17/2015,1,0
391,86493,sr. analyst,243,1,'New Orleans',1,12/28/2013,5,4
392,29712,office worker,644,1,'New Orleans',5,10/23/2013,3,3
393,92518,sr. analyst,,0,'New York',4,8/13/2015,1,0
394,39688,programmer 1,,0,'San Fran',3,12/17/2013,0,0
395,55036,programmer 2,220,1,'New Orleans',4,12/12/2014,5,2
396,85683,sr. analyst,,0,'Orlando',6,2/8/2013,5,1
397,28729,office worker,923,1,'Orlando',5,1/20/2015,0,0
398,48318,programmer 1,,0,'San Fran',2,4/9/2014,1,0
399,102978,director,525,1,'San Fran',3,9/26/2015,3,4
400,55101,programmer 2,,0,'Orlando',5,4/14/2014,4,1
401,112285,director,683,1,'San Fran',2,11/17/2013,0,0
402,47723,programmer 1,,0,'New York',5,5/6/2015,1,1
403,64400,analyst,,0,'Orlando',4,8/28/2015,3,0
404,101830,director,848,1,'New York',3,7/19/2013,0,0
405,59777,programmer 2,262,1,'New York',3,8/22/2013,2,0
406,62077,analyst,236,1,'New Orleans',3,4/1/2014,2,3
407,79148,analyst,,0,'San Fran',2,8/6/2014,4,1
408,45775,programmer 1,,0,'Orlando',2,12/15/2013,3,4
409,56709,programmer 2,406,1,'San Fran',5,1/3/2015,2,1
410,65967,analyst,,0,'Orlando',1,6/19/2013,0,2
411,82398,sr. analyst,,0,'New York',1,11/1/2013,0,4
412,98632,sr. analyst,,0,'San Fran',6,9/28/2015,4,3
413,55652,programmer 2,,0,'San Fran',5,7/10/2013,2,1
414,86714,sr. analyst,131,1,'New Orleans',6,11/4/2015,5,3
415,118166,director,,0,'Orlando',4,12/23/2014,0,1
416,77820,analyst,236,1,'San Fran',5,3/7/2014,3,3
417,78634,analyst,,0,'Orlando',5,7/16/2014,4,3
418,51184,programmer 2,,0,'New York',6,12/2/2015,2,2
419,111690,director,207,1,'New York',2,6/11/2015,3,3
420,111498,director,328,1,'Orlando',1,8/10/2014,5,4
421,85866,sr. analyst,112,1,'New York',3,6/21/2013,0,4
422,93767,sr. analyst,958,1,'Orlando',6,8/30/2014,4,4
423,80472,sr. analyst,,0,'New York',2,1/12/2013,1,0
424,82696,sr. analyst,,0,'Orlando',6,2/14/2014,2,3
425,61099,analyst,,0,'San Fran',6,11/18/2013,2,4
426,53990,programmer 2,202,1,'Orlando',2,3/28/2015,3,0
427,23819,office worker,,0,'New York',2,2/6/2013,0,2
428,60619,analyst,,0,'San Fran',6,5/1/2014,0,2
429,78925,analyst,,0,'Orlando',5,11/16/2015,4,1
430,53659,programmer 2,,0,'Orlando',1,10/18/2014,1,5
431,60209,analyst,,0,'Orlando',3,3/25/2015,5,4
432,50923,programmer 2,,0,'New York',4,5/4/2015,4,5
433,39739,programmer 1,,0,'Orlando',3,6/18/2015,4,1
434,112310,director,,0,'Orlando',1,5/6/2015,2,2
